stn_code,mrt_station_english,mrt_line_english,,NAME
DT18,Telok Ayer,Downtown Line,,TELOK AYER
DT19,Chinatown,Downtown Line,,CHINATOWN
DT20,Fort Canning,Downtown Line,,FORT CANNING
DT21,Bencoolen,Downtown Line,,BENCOOLEN
DT22,Jalan Besar,Downtown Line,,JALAN BESAR
DT23,Bendemeer,Downtown Line,,BENDEMEER
DT24,Geylang Bahru,Downtown Line,,GEYLANG BAHRU
DT25,Mattar,Downtown Line,,MATTAR
DT26,MacPherson,Downtown Line,,MACPHERSON
DT27,Ubi,Downtown Line,,UBI
DT28,Kaki Bukit,Downtown Line,,KAKI BUKIT
DT29,Bedok North,Downtown Line,,BEDOK NORTH
DT30,Bedok Reservoir,Downtown Line,,BEDOK RESERVOIR
DT31,Tampines West,Downtown Line,,TAMPINES WEST
DT32,Tampines,Downtown Line,,TAMPINES
DT33,Tampines East,Downtown Line,,TAMPINES EAST
DT34,Upper Changi,Downtown Line,,UPPER CHANGI
DT35,Expo,Downtown Line,,EXPO
BP1,Choa Chu Kang,Bukit Panjang LRT,,CHOA CHU KANG
BP2,South View,Bukit Panjang LRT,,SOUTH VIEW
BP3,Keat Hong,Bukit Panjang LRT,,KEAT HONG
BP4,Teck Whye,Bukit Panjang LRT,,TECK WHYE
BP5,Phoenix,Bukit Panjang LRT,,PHOENIX
BP6,Bukit Panjang,Bukit Panjang LRT,,BUKIT PANJANG
BP7,Petir,Bukit Panjang LRT,,PETIR
BP8,Pending,Bukit Panjang LRT,,PENDING
BP9,Bangkit,Bukit Panjang LRT,,BANGKIT
BP10,Fajar,Bukit Panjang LRT,,FAJAR
BP11,Segar,Bukit Panjang LRT,,SEGAR
BP12,Jelapang,Bukit Panjang LRT,,JELAPANG
BP13,Senja,Bukit Panjang LRT,,SENJA
BP14,Ten Mile Junction,Bukit Panjang LRT,,TEN MILE JUNCTION
STC,Sengkang,Sengkang LRT,,SENGKANG
SE1,Compassvale,Sengkang LRT,,COMPASSVALE
SE2,Rumbia,Sengkang LRT,,RUMBIA
SE3,Bakau,Sengkang LRT,,BAKAU
SE4,Kangkar,Sengkang LRT,,KANGKAR
SE5,Ranggung,Sengkang LRT,,RANGGUNG
SW1,Cheng Lim,Sengkang LRT,,CHENG LIM
SW2,Farmway,Sengkang LRT,,FARMWAY
SW3,Kupang,Sengkang LRT,,KUPANG
SW4,Thanggam,Sengkang LRT,,THANGGAM
SW5,Fernvale,Sengkang LRT,,FERNVALE
SW6,Layar,Sengkang LRT,,LAYAR
SW7,Tongkang,Sengkang LRT,,TONGKANG
SW8,Renjong,Sengkang LRT,,RENJONG
PTC,Punggol,Punggol LRT,,PUNGGOL
PE1,Cove,Punggol LRT,,COVE
PE2,Meridian,Punggol LRT,,MERIDIAN
PE3,Coral Edge,Punggol LRT,,CORAL EDGE
PE4,Riviera,Punggol LRT,,RIVIERA
PE5,Kadaloor,Punggol LRT,,KADALOOR
PE6,Oasis,Punggol LRT,,OASIS
PE7,Damai,Punggol LRT,,DAMAI
PW1,Sam Kee,Punggol LRT,,SAM KEE
PW2,Teck Lee,Punggol LRT,,TECK LEE
PW3,Punggol Point,Punggol LRT,,PUNGGOL POINT
PW4,Samudera,Punggol LRT,,SAMUDERA
PW5,Nibong,Punggol LRT,,NIBONG
PW6,Sumang,Punggol LRT,,SUMANG
PW7,Soo Teck,Punggol LRT,,SOO TECK
